"","day","year","mo","da","collision_date","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"95",4,2017,1,19,"2017-01-19",610,40.7,36.9,1014.4,7.4,7.6,14,22,45,37,0.1,999.9,0,0,0,0,0,0
"96",1,2013,1,28,"2013-01-28",507,27.3,10.8,1028.9,8.8,7.4,14,20,32,21.9,0,999.9,0,1,1,0,0,0
"97",2,2017,1,17,"2017-01-17",657,40,30.9,1023.1,9.6,8.4,14,21,44.1,37,0,999.9,0,1,0,0,0,0
"98",4,2013,1,17,"2013-01-17",491,39.4,34.6,1014.2,8.6,8.6,14,20,41,37,0.47,999.9,1,0,0,0,0,0
"99",1,2015,1,12,"2015-01-12",580,40.9,35.6,1028.3,7.7,6.3,14,29.9,52,21,0,999.9,1,1,0,0,0,0
"106",7,2017,1,29,"2017-01-29",428,38,26.4,1005.7,9.9,10.2,15,22,43,34,0,999.9,0,1,1,0,0,0
"107",5,2014,1,31,"2014-01-31",560,33.7,26.7,1020.9,9.9,9.1,15,19,37.4,28.9,0,999.9,0,0,0,0,0,0
"108",7,2017,1,22,"2017-01-22",411,43.2,40.4,1008.1,4.5,8.4,15,21,53.1,39,0,999.9,1,0,0,0,0,0
"109",2,2014,1,14,"2014-01-14",559,45.5,43.2,1012.5,5.2,11.8,15,22,48,28.9,0,999.9,1,1,0,0,0,0
"110",1,2017,1,16,"2017-01-16",477,31.6,20.7,1029,10,6.2,15,18.1,43,21,0,999.9,0,0,0,0,0,0
"111",1,2017,1,30,"2017-01-30",545,34,23.1,1006.1,9.7,6.5,15,22,43,24.1,0,999.9,0,0,1,0,0,0
"112",6,2016,1,30,"2016-01-30",596,37.8,27.3,1011,10,11.6,15,22.9,45,34,0,999.9,0,0,0,0,0,0
"113",5,2018,1,19,"2018-01-19",599,28.9,21.4,1014.3,10,10.5,15,21,34,24.1,0,999.9,0,0,0,0,0,0
"114",7,2013,1,6,"2013-01-06",393,35.7,31.3,1019.7,9.8,5.9,15,20,44.1,23,0.01,999.9,0,1,0,0,0,0
"115",4,2018,1,18,"2018-01-18",634,32.4,29.5,1013.5,8.4,10.2,15,19,41,28.9,0.04,999.9,0,0,0,0,0,0
